iter	Passed	Remaining
743	2031	699
744	2034	696
745	2037	693
746	2041	691
747	2044	688
748	2046	685
749	2048	682
750	2051	680
751	2053	677
752	2056	674
753	2059	672
754	2061	669
755	2064	666
756	2066	663
757	2070	661
758	2072	658
759	2075	655
760	2078	652
761	2080	649
762	2083	647
763	2086	644
764	2091	642
765	2096	640
766	2099	637
767	2102	635
768	2105	632
769	2107	629
770	2109	626
771	2112	623
772	2116	621
773	2118	618
774	2121	615
775	2123	613
776	2126	610
777	2128	607
778	2131	604
779	2134	602
780	2137	599
781	2139	596
782	2141	593
783	2144	590
784	2147	588
785	2150	585
786	2152	582
787	2154	579
788	2157	576
789	2159	574
790	2162	571
791	2165	568
792	2167	565
793	2169	562
794	2171	559
795	2174	557
796	2176	554
797	2179	551
798	2181	548
799	2183	545
800	2185	543
801	2188	540
802	2190	537
803	2193	534
804	2195	531
805	2197	528
806	2199	526
807	2201	523
808	2204	520
809	2206	517
810	2208	514
811	2210	511
812	2212	508
813	2214	506
814	2217	503
815	2219	500
816	2222	497
817	2224	494
818	2226	492
819	2228	489
820	2230	486
821	2233	483
822	2235	480
823	2238	478
824	2240	475
825	2242	472
826	2245	469
827	2247	466
828	2250	464
829	2252	461
830	2254	458
831	2256	455
832	2258	452
833	2261	450
834	2263	447
835	2265	444
836	2268	441
837	2270	438
838	2272	436
839	2274	433
840	2276	430
841	2279	427
842	2281	424
843	2284	422
844	2286	419
845	2288	416
846	2290	413
847	2292	410
848	2295	408
849	2297	405
850	2299	402
851	2302	399
852	2304	397
853	2306	394
854	2308	391
855	2311	388
856	2313	386
857	2316	383
858	2318	380
859	2320	377
860	2322	374
861	2324	372
862	2327	369
863	2329	366
864	2331	363
865	2334	361
866	2336	358
867	2338	355
868	2341	352
869	2343	350
870	2345	347
871	2347	344
872	2349	341
873	2352	339
874	2354	336
875	2356	333
876	2359	330
877	2361	328
878	2363	325
879	2365	322
880	2367	319
881	2369	317
882	2372	314
883	2374	311
884	2376	308
885	2378	306
886	2380	303
887	2382	300
888	2385	297
889	2387	295
890	2390	292
891	2393	289
892	2395	287
893	2398	284
894	2400	281
895	2402	278
896	2404	276
897	2406	273
898	2409	270
899	2412	268
900	2415	265
901	2417	262
902	2420	260
903	2423	257
904	2426	254
905	2429	252
906	2432	249
907	2436	246
908	2438	244
909	2441	241
